,Name of movie,Featuring Stars,Amount of votes,Genre,Gross,Popularity,Certifcation
0,The Dark Knight,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']","2,754,754","<span class=""genre"">
Action, Crime, Drama            </span>",$534.86M,9.0,"<span class=""certificate"">UA</span>"
1,The Lord of the Rings: The Return of the King,"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom']","1,904,438","<span class=""genre"">
Action, Adventure, Drama            </span>",$377.85M,9.0,"<span class=""certificate"">U</span>"
2,Spider-Man: Across the Spider-Verse,"['Shameik Moore', 'Hailee Steinfeld', 'Brian Tyree Henry', 'Luna Lauren Velez']","198,554","<span class=""genre"">
Animation, Action, Adventure            </span>",*****,8.9,"<span class=""certificate"">U</span>"
3,Inception,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page', 'Ken Watanabe']","2,445,450","<span class=""genre"">
Action, Adventure, Sci-Fi            </span>",$292.58M,8.8,"<span class=""certificate"">UA</span>"
4,The Lord of the Rings: The Fellowship of the Ring,"['Elijah Wood', 'Ian McKellen', 'Orlando Bloom', 'Sean Bean']","1,932,702","<span class=""genre"">
Action, Adventure, Drama            </span>",$315.54M,8.8,"<span class=""certificate"">U</span>"
5,The Lord of the Rings: The Two Towers,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Orlando Bloom']","1,718,574","<span class=""genre"">
Action, Adventure, Drama            </span>",$342.55M,8.8,"<span class=""certificate"">UA</span>"
6,The Matrix,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving']","1,976,913","<span class=""genre"">
Action, Sci-Fi            </span>",$171.48M,8.7,"<span class=""certificate"">A</span>"
7,Star Wars: Episode V - The Empire Strikes Back,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']","1,333,514","<span class=""genre"">
Action, Adventure, Fantasy            </span>",$290.48M,8.7,"<span class=""certificate"">UA</span>"
8,Soorarai Pottru,"['Suriya', 'Paresh Rawal', 'Aparna Balamurali', 'Urvashi']","120,209","<span class=""genre"">
Action, Drama            </span>",*****,8.7,"<span class=""certificate"">U</span>"
9,Terminator 2: Judgment Day,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong', 'Robert Patrick']","1,134,277","<span class=""genre"">
Action, Sci-Fi            </span>",$204.84M,8.6,"<span class=""certificate"">A</span>"
10,Star Wars,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Alec Guinness']","1,405,541","<span class=""genre"">
Action, Adventure, Fantasy            </span>",$322.74M,8.6,"<span class=""certificate"">U</span>"
11,Shichinin no samurai,"['Toshirô Mifune', 'Takashi Shimura', 'Keiko Tsushima', 'Yukiko Shimazaki']","355,830","<span class=""genre"">
Action, Drama            </span>",$0.27M,8.6,"<span class=""certificate"">U</span>"
12,Seppuku,"['Tatsuya Nakadai', 'Akira Ishihama', 'Shima Iwashita', 'Tetsurô Tanba']","62,624","<span class=""genre"">
Action, Drama, Mystery            </span>",*****,8.6,
13,Sita Ramam,"['Dulquer Salmaan', 'Mrunal Thakur', 'Rashmika Mandanna', 'Sumanth']","61,770","<span class=""genre"">
Action, Drama, Mystery            </span>",*****,8.6,"<span class=""certificate"">U</span>"
14,Gladiator,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed']","1,550,872","<span class=""genre"">
Action, Adventure, Drama            </span>",$187.71M,8.5,"<span class=""certificate"">UA</span>"
15,Léon,"['Jean Reno', 'Gary Oldman', 'Natalie Portman', 'Danny Aiello']","1,201,001","<span class=""genre"">
Action, Crime, Drama            </span>",$19.50M,8.5,"<span class=""certificate"">A</span>"
16,The Dark Knight Rises,"['Christian Bale', 'Tom Hardy', 'Anne Hathaway', 'Gary Oldman']","1,761,918","<span class=""genre"">
Action, Drama, Thriller            </span>",$448.14M,8.4,"<span class=""certificate"">UA</span>"
17,Spider-Man: Into the Spider-Verse,"['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld', 'Mahershala Ali']","615,673","<span class=""genre"">
Animation, Action, Adventure            </span>",$190.24M,8.4,"<span class=""certificate"">U</span>"
18,Raiders of the Lost Ark,"['Harrison Ford', 'Karen Allen', 'Paul Freeman', 'John Rhys-Davies']","1,006,874","<span class=""genre"">
Action, Adventure            </span>",$248.16M,8.4,"<span class=""certificate"">A</span>"
19,Avengers: Endgame,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth']","1,201,172","<span class=""genre"">
Action, Adventure, Drama            </span>",$858.37M,8.4,"<span class=""certificate"">UA</span>"
20,Aliens,"['Sigourney Weaver', 'Michael Biehn', 'Carrie Henn', 'Paul Reiser']","738,786","<span class=""genre"">
Action, Adventure, Sci-Fi            </span>",$85.16M,8.4,"<span class=""certificate"">U</span>"
21,Oldeuboi,"['Choi Min-sik', 'Yoo Ji-tae', 'Kang Hye-jeong', 'Kim Byeong-Ok']","603,699","<span class=""genre"">
Action, Drama, Mystery            </span>",$0.71M,8.4,"<span class=""certificate"">A</span>"
22,Avengers: Infinity War,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans']","1,142,987","<span class=""genre"">
Action, Adventure, Sci-Fi            </span>",$678.82M,8.4,"<span class=""certificate"">UA</span>"
23,Kaithi,"['Karthi', 'Narain', 'Arjun Das', 'George Maryan']","36,958","<span class=""genre"">
Action, Adventure, Crime            </span>",*****,8.4,"<span class=""certificate"">UA</span>"
24,Asuran,"['Dhanush', 'Manju Warrier', 'Prakash Raj', 'Pasupathy']","31,627","<span class=""genre"">
Action, Drama            </span>",*****,8.4,"<span class=""certificate"">UA</span>"
25,Top Gun: Maverick,"['Tom Cruise', 'Jennifer Connelly', 'Miles Teller', 'Val Kilmer']","617,136","<span class=""genre"">
Action, Drama            </span>",$718.73M,8.3,"<span class=""certificate"">UA</span>"
26,Heat,"['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Jon Voight']","685,833","<span class=""genre"">
Action, Crime, Drama            </span>",$67.44M,8.3,"<span class=""certificate"">A</span>"
27,Star Wars: Episode VI - Return of the Jedi,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']","1,087,008","<span class=""genre"">
Action, Adventure, Fantasy            </span>",$309.13M,8.3,"<span class=""certificate"">U</span>"
28,Mononoke-hime,"['Yôji Matsuda', 'Yuriko Ishida', 'Yûko Tanaka', 'Billy Crudup']","411,855","<span class=""genre"">
Animation, Action, Adventure            </span>",$2.38M,8.3,"<span class=""certificate"">U</span>"
29,North by Northwest,"['Cary Grant', 'Eva Marie Saint', 'James Mason', 'Jessie Royce Landis']","337,060","<span class=""genre"">
Action, Adventure, Mystery            </span>",$13.28M,8.3,"<span class=""certificate"">U</span>"
30,Dangal,"['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh', 'Sanya Malhotra']","199,806","<span class=""genre"">
Action, Biography, Drama            </span>",$12.39M,8.3,"<span class=""certificate"">U</span>"
31,Kantara,"['Rishab Shetty', 'Kishore Kumar G.', 'Achyuth Kumar', 'Sapthami Gowda']","97,196","<span class=""genre"">
Action, Adventure, Drama            </span>",*****,8.3,"<span class=""certificate"">UA</span>"
32,K.G.F: Chapter 2,"['Yash', 'Sanjay Dutt', 'Raveena Tandon', 'Srinidhi Shetty']","141,419","<span class=""genre"">
Action, Crime, Drama            </span>",$6.60M,8.3,"<span class=""certificate"">UA</span>"
33,Vikram,"['Kamal Haasan', 'Vijay Sethupathi', 'Fahadh Faasil', 'Narain']","65,078","<span class=""genre"">
Action, Crime, Thriller            </span>",*****,8.3,"<span class=""certificate"">UA</span>"
34,Shershaah,"['Sidharth Malhotra', 'Kiara Advani', 'Shiv Panditt', 'Pranay Pachauri']","125,773","<span class=""genre"">
Action, Biography, Drama            </span>",*****,8.3,"<span class=""certificate"">UA</span>"
35,Ratsasan,"['Vishnu Vishal', 'Amala Paul', 'Radha Ravi', 'Sangili Murugan']","47,622","<span class=""genre"">
Action, Crime, Drama            </span>",*****,8.3,"<span class=""certificate"">UA</span>"
36,Batman Begins,"['Christian Bale', 'Michael Caine', 'Ken Watanabe', 'Liam Neeson']","1,521,672","<span class=""genre"">
Action, Crime, Drama            </span>",$206.85M,8.2,"<span class=""certificate"">UA</span>"
37,Spider-Man: No Way Home,"['Tom Holland', 'Zendaya', 'Benedict Cumberbatch', 'Jacob Batalon']","819,216","<span class=""genre"">
Action, Adventure, Fantasy            </span>",$804.75M,8.2,"<span class=""certificate"">UA</span>"
38,Indiana Jones and the Last Crusade,"['Harrison Ford', 'Sean Connery', 'Alison Doody', 'Denholm Elliott']","786,718","<span class=""genre"">
Action, Adventure            </span>",$197.17M,8.2,"<span class=""certificate"">U</span>"
39,Jurassic Park,"['Sam Neill', 'Laura Dern', 'Jeff Goldblum', 'Richard Attenborough']","1,026,306","<span class=""genre"">
Action, Adventure, Sci-Fi            </span>",$402.45M,8.2,"<span class=""certificate"">UA</span>"
40,1917,"['Dean-Charles Chapman', 'George MacKay', 'Daniel Mays', 'Colin Firth']","633,644","<span class=""genre"">
Action, Drama, War            </span>",$159.23M,8.2,"<span class=""certificate"">R</span>"
41,Kill Bill: Vol. 1,"['Uma Thurman', 'David Carradine', 'Daryl Hannah', 'Michael Madsen']","1,150,911","<span class=""genre"">
Action, Crime, Thriller            </span>",$70.10M,8.2,"<span class=""certificate"">A</span>"
42,Die Hard,"['Bruce Willis', 'Alan Rickman', 'Bonnie Bedelia', 'Reginald VelJohnson']","908,106","<span class=""genre"">
Action, Thriller            </span>",$83.01M,8.2,"<span class=""certificate"">A</span>"
43,V for Vendetta,"['Hugo Weaving', 'Natalie Portman', 'Rupert Graves', 'Stephen Rea']","1,148,369","<span class=""genre"">
Action, Drama, Sci-Fi            </span>",$70.51M,8.2,"<span class=""certificate"">UA</span>"
44,Ran,"['Tatsuya Nakadai', 'Akira Terao', 'Jinpachi Nezu', 'Daisuke Ryû']","130,761","<span class=""genre"">
Action, Drama, War            </span>",$4.14M,8.2,"<span class=""certificate"">Not Rated</span>"
45,Kimetsu no Yaiba: Mugen Ressha-Hen,"['Natsuki Hanae', 'Akari Kitô', 'Yoshitsugu Matsuoka', 'Hiro Shimono']","66,568","<span class=""genre"">
Animation, Action, Adventure            </span>",$47.70M,8.2,"<span class=""certificate"">UA</span>"
46,Gangs of Wasseypur,"['Manoj Bajpayee', 'Nawazuddin Siddiqui', 'Tigmanshu Dhulia', 'Richa Chadha']","100,067","<span class=""genre"">
Action, Comedy, Crime            </span>",*****,8.2,"<span class=""certificate"">A</span>"
47,Yôjinbô,"['Toshirô Mifune', 'Eijirô Tôno', 'Tatsuya Nakadai', 'Yôko Tsukasa']","127,076","<span class=""genre"">
Action, Drama, Thriller            </span>",*****,8.2,"<span class=""certificate"">U</span>"
48,K.G.F: Chapter 1,"['Yash', 'Srinidhi Shetty', 'Ramachandra Raju', 'Archana Jois']","92,853","<span class=""genre"">
Action, Crime, Drama            </span>",*****,8.2,"<span class=""certificate"">UA</span>"
49,Baahubali 2: The Conclusion,"['Prabhas', 'Rana Daggubati', 'Anushka Shetty', 'Tamannaah Bhatia']","108,393","<span class=""genre"">
Action, Drama            </span>",$20.19M,8.2,"<span class=""certificate"">UA</span>"
